index,Pathway,Super_class,Class
CCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
N/C(=C/C=C\C(=O)O)C(=O)O,Fatty acids,Fatty Acids and Conjugates,Dicarboxylic acids
CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoserines
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)C[C@H](O)C(=O)C(C)(C)O,Terpenoids,Steroids,Vitamin D3 and derivatives
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)N[C@@H](Cc1ccccc1)C(=O)O,Fatty acids,Fatty amides,N-acyl amines
CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](O)CCCCCCCCCCCCCCCCC,Fatty acids,Spingolipids,Phosphosphingolipids
COC1=C(OC)C23CCc4cc(OC)c(OC)cc4C2(CCN3)CC1=O,Alkaloids,Tyrosine alkaloids,Hasubanan alkaloids
CC1(C)CCC2(C)CC=C3C(C)(CCC4C3(C)CCC3C(C)(C)C(O)CCC43C)C2C1,Terpenoids,Triterpenoids,Taraxerane triterpenoids
CC(=O)OC(C)/C=C\C(=O)NC1CC(C)C(C/C=C(C)/C=C/C2O[C@](C)(O)C[C@@](O)(CCl)[C@@H]2O)OC1C,Fatty acids,Fatty amides,N-acyl amines
CC(=O)OC1(C)CCC(O)C(C)(O)CC2OC1C1C(C(C)C)CCC(C)(OC(C)=O)C21,Terpenoids,Diterpenoids,Eunicellane diterpenoids
CCCCCCCCCCCCCCCC/C=C\CCCCCCCCCCCCCCCCC(O)C(CCCCCCCCCCCCCCCCCCCCCC)C(=O)O,Fatty acids,Fatty Acids and Conjugates,Mycolic acids
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CCCCCCC=CCC1CC(=O)NC(CO)C(=O)OC(CCCCCCC)CC(=O)NC(CO)C(=O)O1,Amino acids and Peptides,Oligopeptides,Lipopeptides
Cc1ccc2c(=O)oc(C(=O)O)cc2c1O,Shikimates and Phenylpropanoids,Coumarins,Isocoumarins
CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
C=C(C)C1CC(OC(C)=O)C23OCC4(CC(=O)C2C1(C)CCC(=O)OC)C3(C)CCC41OC2(CC)CCC1(C)O2,Terpenoids,Triterpenoids,"Lanostane, Tirucallane and Euphane triterpenoids"
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCCCC)COC(=O)CCCCCCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CCCCN(CCCC)N(C)C(=O)COc1cc2c(O)c3c(O)c(C)c4c(c13)C(=O)C(C)(OC=CC(OC)C(C)C(OC(C)=O)C(C)C(O)C(C)C(O)C(C)C=CC=C(C)C(=O)N2)O4,Polyketides,Macrolides,Ansa macrolides
CC(C)(O)C1Cc2c(cc(O)c3c(=O)c(-c4ccc(O)cc4O)coc23)O1,Shikimates and Phenylpropanoids,Isoflavonoids,Isoflavones
CCCCC1=C2NC(N)=NC3CCC(CC1C)C23O,Alkaloids,Guanidine alkaloids,Tricyclic guanidine alkaloids
O=c1cc(-c2cc(O)c(O)cc2O)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,Shikimates and Phenylpropanoids,Flavonoids,Flavones
COCCn1cc(C(=O)N2CCC(C)CC2)c2c3ccccc3n(C)c2c1=O,Alkaloids,Tryptophan alkaloids,Carboline alkaloids
CC1=C(O)C(=O)C[C@@H]2[C@]1(C=O)CC[C@H]1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@]12C,Terpenoids,Triterpenoids,Friedelane triterpenoids
C=C(C)[C@H]1CC(=O)[C@]2(C)C[C@@H]3C(C)=CC[C@H](O)[C@@]3(C)CC[C@@H]12,Terpenoids,Diterpenoids,Dolastane diterpenoids
CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3N=NN2CCCC2)Oc2ccc(cc2Cl)C1O,Amino acids and Peptides,Oligopeptides,Vancomycins and Teicoplanins
CCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoinositols
CCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCC/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CCC(=O)O[C@H]1[C@@H](C)C[C@]2(OC(C)=O)[C@@H](OC(=O)c3cccnc3)[C@]3(C)OC[C@]4(C(=O)[C@H](OC(=O)c5ccccc5)[C@@H]5C[C@](C)(OC(C)=O)[C@@H]5[C@H]43)[C@H](OC(C)=O)[C@@H]12,Terpenoids,Diterpenoids,Myrsinane diterpenoids
CCc1cc(=O)oc2cc(OC(=O)c3ccco3)ccc12,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins
CCCCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoinositols
Brc1ccc2[nH]c3c(C4=NCCC4)nccc3c2c1,Alkaloids,Tryptophan alkaloids,Carboline alkaloids
COC(=O)N[C@@H]1[C@H](C)O[C@@H](OC2CC=C(C)[C@H]3C=C[C@@H]4[C@H]([C@H](C)C[C@@H](C)[C@H]4O[C@@H]4C[C@@H](O[C@@H]5C[C@@H](O)[C@@H](O[C@@H]6C[C@@H](O)[C@@H](OC)[C@H](C)O6)[C@H](C)O5)[C@@H](O)[C@H](C)O4)[C@@]3(C)C(O)=C3C(=O)OC4(C[C@H](C)C(CO)=C[C@H]4C=C2C)C3=O)C[C@@]1(C)[N+](=O)[O-],Polyketides,Macrolides,Spirotetronate macrolides
C/C(=C/CC/C(C)=C/C(=O)c1cc(O)c(O)cc1O)C(=O)O,Terpenoids,Meroterpenoids,Meromonoterpenoids
COc1ccc2c3c(n(C)c2c1)[C@@H](CO)N(CC1CC1)CC31CN(C(=O)c2ccccc2)C1,Alkaloids,Tryptophan alkaloids,Carboline alkaloids
CC(=O)O[C@H]1CC(C)(C)C(=C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C(=O)C[C@@]23O[C@]2(C)C[C@@H](OC(C)=O)CC3(C)C)[C@](C)(O)C1,Terpenoids,Carotenoids (C40),"Carotenoids (C40, 棺-棺)"
CC1CCC23CCC4(C)C5(C)CCC6C(C)(C)C(=O)CCC6(C)C5C=CC4(OC2)C3C1C,Terpenoids,Triterpenoids,Ursane and Taraxastane triterpenoids
CC(=O)C(CCNCCCN)(CNCCCN)C(C)=O,Alkaloids,Ornithine alkaloids,Polyamines
C=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,Fatty acids,Fatty esters,Fatty acyl carnitines
CCC(C)C(=O)OC1(C)C(=O)C(C)=C(O)C=C1OC,Polyketides,Cyclic polyketides,Simple cyclic polyketides
CC1CC2C(=O)OCC(NC(=O)C(Cc3ccccc3)NC(=O)C=CC=CC=CC=CC=CC(=O)NC3=C(O)CCC3=O)C(=O)N3CCCC3C(=O)N(C)C(C)C(=O)NC(C)C(=O)N2C1,Polyketides,Oligopeptides,Depsipeptides
CCCCCCCCCCCCCCCCCCCC/C=C\CCCCCCCCCCCCCCCCC(O)C(CCCCCCCCCCCCCCCCCCCC)C(=O)O,Fatty acids,Fatty Acids and Conjugates,Mycolic acids
CC#CC#CC#C/C=C\C=C/CC(=O)O,Fatty acids,Fatty Acids and Conjugates,Unsaturated fatty acids
CCCCCC/C=C/C#CC(O)CCCCCC(=O)O,Fatty acids,Fatty Acids and Conjugates,Unsaturated fatty acids
Cn1cnc2c1c(=O)n(CCCCN1CCN(c3ccc(F)cc3)CC1)c(=O)n2C,Alkaloids,Pseudoalkaloids (transamidation),Purine alkaloids
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1c2cc(OC)c(OC)cc2CCN1CC(O)CN1CCN(C)CC1,Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids
CC=C(C)C(=O)OC1C2OC(C)C(OC3OC(C)C(OC(=O)C(C)C(C)O)C(O)C3O)C1OC(=O)CCCCCCCCCC(CCCCC)OC1OC(C)C(O)C(O)C1OC1OC(COC(=O)C(C)C(C)O)C(O)C(O)C1O2,Fatty acids,Fatty acyls,Resin glycosides
CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
C=C1CC23CC1CCC2C12CC(C)C(O)C(C)(C(=O)O1)C2C3C(=O)O,Terpenoids,Diterpenoids,Gibberellins
Cn1c2cccc(C(N)=O)c2nc2ccc3c(-c4ccccc4)c(=O)[nH]c(=O)c3c21,Alkaloids,Anthranilic acid alkaloids,Phenazine alkaloids
CCCCCCCCCCCCCCCCCCCCCC(C)CCCCCCCCCC,Fatty acids,Fatty acyls,Hydrocarbons
COC(=O)CCC(=O)OCC1=C2C[C@H]3[C@](O)(COC(=O)C=C(C)CO)[C@H]4C[C@H]4[C@]3(C)[C@@H]3CC4=C5[C@H](C(=C(C)C(=O)OC)C(=O)[C@H](O)[C@@]5(C)[C@@H]5C[C@H]45)[C@]23OC1=O,Terpenoids,Sesquiterpenoids,Cycloeudesmane sesquiterpenoids
COc1cccc2cc(C(=O)N3CCN(C(=O)c4ccccc4)CC3)c(=O)oc12,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins
O=c1ccc2c(O)cc3c(c2o1)C[C@H](O)[C@@H](c1ccc(O)c(O)c1)O3,Shikimates and Phenylpropanoids,Flavonoids,Flavan-3-ols
CC(C)C1=C2CCC(C)C2CC(C)(C)C1O,Terpenoids,Sesquiterpenoids,Brasilane sesquiterpenoids
CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,Fatty acids,Glycerophospholipids,Glycerophosphocholines
CCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CC(C)=CCc1c(O)ccc2[nH]c3ccc(C=O)cc3c12,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids
CCCCCCC1CCCC(C2CCC(C3CCC(C(O)CCCCCCCCCCCCC4=CC(C)OC4=O)O3)O2)O1,Polyketides,Linear polyketides,Acetogenins
CCCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphocholines
O=C(C=Cc1ccc(O)c(O)c1)CC(=O)C=Cc1ccc(O)c(O)c1,Shikimates and Phenylpropanoids,Diarylheptanoids,Linear diarylheptanoids
CCCCCCCCCCCCN1CCN(c2c3c(O)c4c(O)c(C)c5c(c4c2O)C(=O)C(C)(OC=CC(OC)C(C)C(OC(C)=O)C(C)C(O)C(C)C(O)C(C)C=CC=C(C)C(=O)N3)O5)CC1,Polyketides,Macrolides,Ansa macrolides
C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)C#CCC(O)(CC)CC)C[C@@H](O)C[C@@H]1O,Terpenoids,Steroids,Vitamin D3 and derivatives
O=C(OC1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC2C(OC(=O)c2cc(O)c(O)c(O)c2-c2c(O)c(O)c3oc(=O)c4cc(O)c(O)c5oc(=O)c2c3c54)C1O)c1cc(O)c(O)c(O)c1,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Gallotannins
COC(=O)c1cc2c(O)c3c(c(O)c2o1)[C@@]1(C)CCCC(C)(C)C1=C(OC)C3=O,Terpenoids,Diterpenoids,Abeoabietane diterpenoids
CCCCCCCCC/C=C/CC/C=C/CCC(=O)O,Fatty acids,Fatty Acids and Conjugates,Unsaturated fatty acids
CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
Cc1c2c(c3[nH]c4ccccc4c3c1O)C1CC(C)(CCC1C(C)C)O2,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids
COc1ccc2c(c1CC=C(C)C)OC1c3ccc(O)cc3OCC21O,Shikimates and Phenylpropanoids,Isoflavonoids,Pterocarpan
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,Fatty acids,Glycerolipids,Triacylglycerols
COC1CC2(O)C3C(OC)C1CC3C13C(OC)CCC4(COC(=O)c5ccccc5N5C(=O)CC(C)C5=O)C=NC1C2(O)C(OC)C43,Alkaloids,Pseudoalkaloids (transamidation),Terpenoid alkaloids
CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](CO/C=C\CCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
COc1c(C)cc2c(C(C)C)cc(O)c3c2c1OC3=O,Terpenoids,Sesquiterpenoids,Cadinane sesquiterpenoids
C=C1C(=O)OC2C1CCC(C)=CCC(OC(=O)C(C)CC)C1(C)OC21,Terpenoids,Sesquiterpenoids,Germacrane sesquiterpenoids
CC(CC=C1OC2CC3C4CCC5CC(OC6OC(COC7OC(C)C(O)C(O)C7O)C(O)C(O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C2C1(C)O)COC1OC(CO)C(O)C(O)C1O,Terpenoids,Steroids,Furostane steroids
C=CC(O)CC(=O)OC1CCC2Cc3occ(C)c3C(OC(=O)C(=C)C)C2(C)C1C,Terpenoids,Sesquiterpenoids,Eremophilane sesquiterpenoids
CC1CC(O)CC(C)(C)C1=O,Terpenoids,Apocarotenoids,Apocarotenoids(琯-)
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCC)COP(=O)(O)O,Fatty acids,Glycerophospholipids,Glycerophosphates
O=C1NC(Cc2cnc[nH]2)C(=O)N2CCCC12,Amino acids and Peptides,Small peptides,Dipeptides
CC(=O)OC1CCC2(C)C(CCC3(C)C2CCC2C4C(C)C5(C)OC5CC4(C)CCC23C)C1(C)C,Terpenoids,Triterpenoids,Ursane and Taraxastane triterpenoids
CC1OC(Oc2cc3oc(-c4ccc(O)c(O)c4)cc(=O)c3c(O)c2C2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,Shikimates and Phenylpropanoids,Flavonoids,Flavones
NC(N)=[NH+]CCCCNc1nc(N)cc[n+]1C1OC(CO)C(O)C1O,Carbohydrates,Nucleosides,Pyrimidine nucleosides
CCC(C)C(N)C(=O)OC1=CCC2C3Cc4ccc(OC)c5c4C2(CCN3C)C1O5,Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)S(=O)(=O)c3ccc(C)cc3)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,Polyketides,Macrolides,Erythromycins
Cn1c2c(O)cccc2c(=O)c2c3c(c4c(c21)C=CC(C)(C)O4)C=CCO3,Alkaloids,Anthranilic acid alkaloids,Acridone alkaloids
C#CCCCCC(C)CC(C)C(=O)N(C)C(Cc1ccccc1)C(=O)NC(C)C(=O)N(C)C(C)C(=O)N(C)C(Cc1ccc(OC)cc1)C(N)=O,Amino acids and Peptides,Oligopeptides,Microginins
C=C(C=O)C1CCC(C(=O)O)C1C(=O)c1cc(O)ccc1O,Terpenoids,Meroterpenoids,Meroterpenoids with 5- or 6-membered ring
CC1CCCC(C)(C)C1,Fatty acids,Fatty acyls,Hydrocarbons
O=c1c(-c2ccc(O)cc2)coc2c(C3OC(CO)C(O)C(O)C3O)c(OC3OCC(O)C(O)C3O)ccc12,Shikimates and Phenylpropanoids,Isoflavonoids,Isoflavones
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1(O)CCOC1O2,Polyketides,Chromanes,Aflatoxins
CCc1c(C)ccc2c1CCC1C(C)(C=O)CCCC21C,Terpenoids,Diterpenoids,Cleistanthane diterpenoids
COc1cc(O)c2c(=O)c(OC3OC(CO)C(O)C(O)C3OC3OCC(O)C(O)C3O)c(-c3ccc(O)c(OC)c3)oc2c1,Shikimates and Phenylpropanoids,Flavonoids,Flavonols
CC=C(C)C(=O)OC1CC(OC(C)=O)C2(C)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O,Terpenoids,Triterpenoids,Limonoids
C=CC(C)(C)CC(=O)c1c(C)cc(O)c2c1C(=O)NC2=O,Alkaloids,Pseudoalkaloids (transamidation),Isoindole alkaloids
CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)(O)O,Fatty acids,Glycerophospholipids,Glycerophosphates
C=C(C)C1CCC2(C)CCC3(C)C(=C12)CCC1C2(C)CCC(OC(C)=O)C(C)(C)C2CCC13C,Terpenoids,Triterpenoids,Lupane triterpenoids
CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C,Fatty acids,Glycerophospholipids,Glycerophosphocholines
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins
C=C1C(=O)O[C@H]2[C@@H](OC(C)=O)/C(C)=C/CC[C@](C)(OO)/C=C/C[C@]3(C)O[C@H]3C[C@H]12,Terpenoids,Diterpenoids,Cembrane diterpenoids
CCCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphates
C=CC(CC(=NOS(=O)(=O)O)SC1OC(CO)C(O)C(O)C1O)OC(=O)CC1C(=O)Nc2ccccc21,Amino acids and Peptides,Amino acid glycosides,Glucosinolates
CC=C(C=O)[C@H]1[C@@H](OC(C)=O)[C@H]2O[C@]23[C@@H]2CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]2CC[C@]13C,Terpenoids,Steroids,Cholane steroids
CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(O)C5C(O)(C(O)C6OC)C(C(OC)C23)C14,Alkaloids,Pseudoalkaloids (transamidation),Terpenoid alkaloids
C[C@H]1CC[C@@]23C1=C[C@@]1(C)CC[C@](C)(CC(O)C(O)C4(C)CO4)[C@H]1[C@@H]2CC[C@@H]3C,Terpenoids,Sesterterpenoids,Mangicol-type sesterterpenoids
CC(C)c1cc(C=O)c(C2(C)CCCC(C)(C)C2C=O)cc1O,Terpenoids,Diterpenoids,Secoabietane diterpenoids
CCC(C)(O)C(O)C(=O)OCC1CCN2CCCC12,Alkaloids,Ornithine alkaloids,Pyrrolizidine alkaloids
CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,Fatty acids,Glycerophospholipids,Glycerophosphoglycerophosphoglycerols
Oc1cc2c(cc1O)C1Cc3ccc(O)c(O)c3CN1CC2,Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids
CCCCCCCCCCCCCCCCCCC1OC1C1OC1CCCCCCCCC1=CC(C)OC1=O,Polyketides,Linear polyketides,Acetogenins
COc1ccc(CC2C(=O)NC(C)C(=O)N(C)C3Cc4ccc(cc4)Oc4cc(ccc4OC(=O)c4ccccc4)CC(C(=O)NC(C)C(=O)NC(C)C(=O)N2C)N(C)C3=O)cc1,Amino acids and Peptides,Oligopeptides,Cyclic peptides
O=c1cc(-c2ccc3c(c2)OCO3)oc2c1ccc1occc12,Shikimates and Phenylpropanoids,Flavonoids,Flavones
CCCCCCCCC(O)C1CCC(C2CCC(C(O)CCCCCCCCC(O)CCCC3=CC(C)OC3=O)O2)O1,Polyketides,Linear polyketides,Acetogenins
CC[C@H](C=C[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C,Terpenoids,Steroids,Stigmastane steroids
COc1ccc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)cc1OC,Shikimates and Phenylpropanoids,Flavonoids,Flavonols
CCOC(=O)CC(C)S,Fatty acids,Fatty esters,Wax monoesters
CC(=O)OC(C)(C)C=CC(=O)C(C)C1C(O)CC2(C)C3CC=C4C(CC(OC5OC(CO)C(O)C(O)C5O)C(O)C4(C)C)C3(C)CCC12C,Terpenoids,Triterpenoids,Cucurbitane triterpenoids
C=C1C(=O)OC2CC3(C)CCCC(C)C3=CC12,Terpenoids,Sesquiterpenoids,Eudesmane sesquiterpenoids
CC(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)C(=O)O,Terpenoids,Apocarotenoids,"Apocarotenoids (C30, 顆-顆)"
OC12CCC=CCCCCN3CCC(C=C1c1nccc4c1[nH]c1ccccc14)C1(C3)CC34CCCC(CCN3C21)O4,Alkaloids,Tryptophan alkaloids,Carboline alkaloids
CCC1=C(/C=C/[C@@H](O)CCCCCCCC(=O)O)C(=O)CC1,Fatty acids,Octadecanoids,Phytoprostanes
CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)COP(=O)(O)O,Fatty acids,Glycerophospholipids,Glycerophosphates
Cc1cc(O)c(C=O)c2c1C(=O)Oc1cc3c(c(C)c1O2)C(=O)CC(C)(C)O3,Polyketides,Aromatic polyketides,Depsides and depsidones
C=C(C)C(CC=C(C)C)CC1(CC(CC=C(C)C)C(=C)C)C(=O)C(CC=C(C)C)C(=O)C(C(=O)c2ccccc2)C1=O,Terpenoids,Meroterpenoids,Polyprenylated cyclic polyketides (Hop meroterpenoids)
C=C(C)C#Cc1cc(CO)ccc1O,Terpenoids,Meroterpenoids,Miscellaneous meroterpenoids
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CC1=CC2OC3(C)C4CC(O)C1C24CC(O)C1(O)C3C2OC2C1(C)C,Terpenoids,Diterpenoids,Grayanotoxane diterpenoids
CC(/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@H](O)C(C)(C)O)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@H](O)C(C)(C)O,Terpenoids,Carotenoids (C40),"Carotenoids (C40, 顆-顆)"
CCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O,Fatty acids,Glycerophospholipids,Glycerophosphoinositols
COc1c(O)cc(C=Cc2cc(O)cc(O)c2)c2c1OC(=O)C21c2c(O)cc(O)cc2OC1c1ccc(O)cc1,Shikimates and Phenylpropanoids,Stilbenoids,Oligomeric stibenes
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCCCCC/C=C\CCCCCCCC,Fatty acids,Fatty esters,Wax monoesters
CCCCCCCCCCC/C=C\CC(COC[C@@H](O)CO)OC,Fatty acids,Glycerolipids,Monoacylglycerols
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCCCC/C=C\CCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,Fatty acids,Glycerophospholipids,Glycerophosphocholines
CC(C)=CCc1c(O)cc(O)c(CC=C(C)C)c1C=Cc1ccc(O)c(O)c1,Shikimates and Phenylpropanoids,Stilbenoids,Monomeric stilbenes
CCCC=CCC=CCCCCCCCc1cc(O)c(C)c(O)c1,Polyketides,Aromatic polyketides,Catechols with side chains
COC(=O)CC1C(=O)CCC(C)C(=O)OC2C3C(OC(C)=O)C45OC3(C)COC(=O)c3cnccc3C(C)C(C)(O)C(=O)OC(C(OC(C)=O)C(OC(C)=O)C4(COC1=O)C2OC(C)=O)C5(C)O,Terpenoids,Sesquiterpenoids,Agarofuran sesquiterpenoids
O=C(C=Cc1ccc(OC2OC(CO)C(O)C(O)C2O)cc1)OCC1OC(Oc2cc3c(OC4OC(CO)C(O)C(O)C4O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)C(OC2OCC(O)C(O)C2O)C(O)C1O,Shikimates and Phenylpropanoids,Flavonoids,Anthocyanidins
CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COP(=O)(O)OCCN,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCCCC,Fatty acids,Glycerolipids,Triacylglycerols
C=C1/C=C\[C@H](OC(C)=O)[C@]2(C)[C@@H]([C@H](OC(C)=O)[C@]3(O)[C@@H](C)C(=O)O[C@H]3[C@H]1Cl)[C@@](C)(O)[C@@H](O)[C@@H]1O[C@@H]12,Terpenoids,Diterpenoids,Briarane diterpenoids
COc1c(O)cc2oc(-c3ccc(O)c(O)c3)c(OC3OC(COC(C)=O)C(O)C(O)C3O)c(=O)c2c1O,Shikimates and Phenylpropanoids,Flavonoids,Flavonols
CCC1C(=O)OCC1Cc1cnc[nH]1,Alkaloids,Histidine alkaloids,Imidazole alkaloids
